문항번호,문제,보기1,보기2,보기3,보기4,보기5,정답번호,해설
Q001,노년기를 건강하게 보내는 방법으로 옳은 것은?,매시간 과격한 운동을 실시한다.,"자원 봉사, 지역사회 참여를 제한한다.",노인의 신체와 활동에 맞게 영양분을 섭취한다.,"가족, 친구 등과 애정 표현을 줄인다.",뇌에 자극을 주는 활동을 삼간다.,3,"과격하지 않고 적절한 운동을 실시하며, 자원봉사·여가활동 참여, 애정 표현, 뇌 자극 활동을 지속해야 한다."
Q002,다음과 같은 노인의 신체적 특성은? (• 잠재하고 있던 질병이 나타난다. • 질병이 발생할 경우 급격하게 상황이 악화된다.),세포의 노화,면역능력의 저하,잔존능력의 저하,회복능력의 저하,비가역적 진행,2,"면역능력이 저하되면 잠재 질병이 드러나고, 질병이 급격히 악화된다."
Q003,노년기의 심리적 특성으로 옳은 것은?,우울증 경향이 감소한다.,외향성이 증가한다.,조심성이 줄어든다.,경직성이 증가한다.,새로운 사물에 애착이 간다.,4,"노인은 우울증 경향과 내향성이 증가하고, 조심성이 많아지며, 친근한 사물에 애착이 강해진다."
Q004,노인에게 주거시설을 임대하여 일상생활 편의를 제공하는 노인복지시설은?,양로시설,노인요양시설,경로당,노인요양공동생활가정,노인복지주택,5,"노인복지주택은 주거시설을 임대하여 생활지도, 상담, 안전관리 등의 편의를 제공한다."
Q005,노인장기요양보험제도의 재원조달 방법으로 옳은 것은?,노인장기요양보험의 보험자는 보건복지부다.,장기요양보험료는 건강보험료율의 비율로 산정한다.,공단은 보험료를 통합 관리한다.,국가는 보험료의 30%를 부담한다.,저소득층은 전액 면제된다.,2,"보험자는 국민건강보험공단이며, 장기요양보험료는 건강보험료율에 비례하여 산정되고 독립회계로 관리된다."
Q006,"장기요양서비스 이용 절차에서 신체, 정신, 사회 환경을 모두 파악하는 조사는?",기능평가,인지검사,욕구평가,건강진단,우울척도검사,3,욕구평가는 대상자의 신체적·정신심리적·사회적 상황을 모두 파악하기 위한 조사이다.
Q007,요양보호서비스의 제공원칙으로 옳은 것은?,제공자 중심의 급여를 제공한다.,수급자의 개별 욕구를 반영하지 않는다.,응급 상황 시 임의로 판단하여 조치 후 보고한다.,가족과 의견이 상충하면 피한다.,필요 시 의료행위를 한다.,1,"서비스는 수급자 중심으로 제공하며, 의료행위는 하지 않는다."
Q008,다음과 같은 상황에서 요양보호사가 수행하는 역할은? (• 대상자를 격려하여 스스로 식사하도록 유도한다.),동기 유발자,숙련된 수발자,정보 전달자,생활 지원자,옹호자,1,대상자가 스스로 할 수 있도록 격려하고 지지하는 역할은 ‘동기 유발자’이다.
Q009,시설 대상자가 비상벨 설치를 요청할 때 보장받아야 하는 권리는?,개별화된 서비스 선택권,안락하고 안전한 생활환경을 제공받을 권리,사생활과 비밀보장권,존엄한 존재로 대우받을 권리,질 높은 생활서비스권,2,시설노인은 안전하고 안락한 환경을 제공받을 권리를 가진다.
Q010,대상자를 고의로 가출 또는 배회하게 하는 노인학대 유형은?,신체적 학대,정서적 학대,경제적 학대,유기,방임,4,유기는 독립할 수 없는 노인을 격리하거나 방치하는 행위이다.
Q011,방문요양 중 학대가 의심될 때 올바른 대처방법은?,이웃에게 물어본다.,가족과 상의한다.,서비스를 중단한다.,사생활 개입하지 않는다.,노인보호전문기관에 신고한다.,5,노인학대 발견 시 즉시 노인보호전문기관 또는 수사기관에 신고해야 한다.
Q012,노인학대 예방을 위한 법적·제도적 장치로 옳은 것은?,노인복지법에 명시되어 있다.,시설 내 자체 해결이 바람직하다.,신고하지 않아도 된다.,노인보호전문기관이 법 제도를 수립한다.,시설이 후견인을 지정한다.,1,"노인복지법에 명시되어 있으며, 예방을 위해 유관기관이 협력해야 한다."
Q013,산업재해보상보험법에 따른 산재근로자 보호 내용으로 옳은 것은?,폐업 시 보상 중단,치료 종료 시 즉시 해고 가능,보험급여는 세금 부과 대상이다.,퇴직과 무관하게 지급된다.,보험급여는 양도 가능하다.,4,"산재보상은 퇴직 여부와 관계없이 지급되며, 양도나 압류할 수 없다."
Q014,요양보호사가 성희롱을 당했을 때 기관장의 올바른 대처는?,2년에 1번 예방교육,가족에게 비밀을 당부,기관장 판단으로 업무 변경,서비스 중단,즉시 조치 취함,5,"기관장은 지체 없이 조치해야 하며, 예방교육은 연 1회 이상 실시해야 한다."
Q015,요양보호사의 직업윤리 원칙으로 옳은 것은?,"가족, 의료진과 협력한다.",요양보호사 판단 우선,대상자 없어도 방에 들어감,친근감 위해 반말 사용,복지용구를 알선함,1,"요양보호사는 대상자와 가족, 의료진, 사회복지사와 협력해야 한다."
Q016,근골격계 질환을 예방하는 올바른 작업환경은?,물건이 쌓인 통로,환기가 잘 되는 거실,문턱이 있는 주방,정기적으로 소독하는 화장실,밤에 조명 켜지는 복도,2,환기가 잘 되는 거실과 안전한 환경이 근골격계 질환 예방에 도움이 된다.
Q017,손목을 삐끗했을 때 초기 대처방법으로 옳은 것은?,손목을 낮게 내린다.,손상 부위를 압박한다.,따뜻한 수건으로 감싼다.,가볍게 움직인다.,통증 부위를 주무른다.,2,"손목을 심장보다 높게 올리고, 냉찜질로 부종을 줄이며 움직이지 않아야 한다."
Q018,비언어적 의사소통의 바른 태도로 옳은 것은?,시선을 한 곳에 고정한다.,간간히 적절히 미소 짓는다.,대상자보다 낮은 곳에서 바라본다.,비껴 앉는다.,큰 소리로 말한다.,2,"적절한 미소, 눈높이 맞추기, 부드러운 목소리가 올바른 비언어적 태도이다."
Q019,대상자와 의사소통하는 원칙으로 옳은 것은?,대상자를 일률적으로 대한다.,잘못된 행동을 바로잡는다.,감정을 솔직히 드러낸다.,비밀을 유지하여 신뢰를 쌓는다.,요양보호사가 대신 결정한다.,4,"대상자의 개별성과 자기결정권을 존중하고, 비밀을 유지해야 한다."
Q020,요양보호사의 의사소통 시 올바른 태도는?,일방적으로 지시한다.,감정을 숨기지 않는다.,대상자의 반응을 무시한다.,공감하며 경청한다.,대상자의 결정을 대신 내린다.,4,요양보호사는 공감적 경청 태도로 대상자의 감정을 존중해야 한다.
